SubID,medium,exhibWeeks,price,ageArtistCat,,,CONTINGENCY TABLE,,,,,,,,,,,,,,,,,,,,
subj1,sculpture,29,60.03,1 (less than 20),,,,ageArtistCat,,,,,,,,,,,,,,,,,,,
subj2,sculpture,58,77.54,1 (less than 20),,,medium,1 (less than 20),2 (21-30),3 (31-55),4 (more than 55),Sum,,,,,,,,,,,,,,,
subj3,painting,23,56.87,3 (31-55),,,painting,1,2,3,4,10,,,Painting expected value,0.277777778,,,,,,sculpute expected value,0.722222222,,,,
subj4,painting,11,52.83,1 (less than 20),,,sculpture,5,6,7,8,26,,,,,,,,,,,,,,,
subj5,painting,38,72.87,4 (more than 55),,,Sum,6,8,10,12,36,,,Sum,6,8,10,12,36,,Sum,6,8,12,36,
subj6,sculpture,22,52.12,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
subj7,sculpture,50,79.04,1 (less than 20),,,sum,10,10,40,40,,,,painting expected,1.666666667,2.222222222,2.777777778,3.333333333,10,,sculpture expected,4.333333333,5.777777778,8.666666667,26,0
subj8,painting,47,81.36,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj9,painting,58,78.25,1 (less than 20),,,,,,,,,,,painting observed,20,17,17,13,67,,sculpture,25,23,21,9,78
subj10,painting,54,67.75,3 (31-55),,,expected frequency,3.6,3.6,14.4,14.4,,,,,,,,,,,,,,,,
subj11,sculpture,48,69.39,1 (less than 20),,,,,,,,,,,,,,,,,,,,,,,
subj12,sculpture,58,68.88,3 (31-55),,,observed frequency ,2.4,4.4,-4.4,-2.4,,,,observred - expecte,18.33333333,14.77777778,14.22222222,9.666666667,,,obsreved - expected,20.66666667,17.22222222,12.33333333,-17,78
subj13,sculpture,10,60.56,4 (more than 55),,,,,,,,,,,,,,,,,,,,,,,
subj14,sculpture,49,81.48,3 (31-55),,,Sqaure ,5.76,19.36,19.36,5.76,,,,^2 test,336.1111111,218.382716,202.2716049,93.44444444,,,^2 ,427.1111111,296.6049383,152.1111111,289,
subj15,painting,30,42.17,3 (31-55),,,,,,,,,,,,,,,,,,,,,,,
